pageid,title,wikidata,label
232595,Mahmoud Abbas,Q127998,Mahmoud Abbas
1157419,Rawhi Fattouh,Q962747,Rawhi Fattouh
3226861,Afif Safieh,Q383257,Afif Safieh
4146163,Aziz Dweik,Q307142,Aziz Duwaik
11832708,Riyad al-Maliki,Q2895694,Riyad al-Maliki
13435513,Salah Abdel-Shafi,Q2213790,Salah Abdel Shafi
18069735,Baker Abdel Munem,Q4849108,Baker Abdel Munem
21077889,Manuel Hassassian,Q6752623,Manuel Hassassian
26584033,Faed Mustafa,Q5438993,Fayed Mustafa
34474220,Ahmed Majdalani,Q4695901,Ahmed Majdalani
38021017,Vera Baboun,Q1770922,Vera Baboun
41706665,Mohammad Shtayyeh,Q16192933,Mohammad Shtayyeh
46959533,Walid Abu Ali,Q20635435,Walid Abu Ali
49413394,Abdel Hafiz Nofal,Q23304287,Abdel Hafiz Nofal
64642779,Adnan Ghaith,Q97704039,Adnan Ghaith
65318835,Khaled Aref,Q99210865,Khaled Aref
65659460,Samir Taha,Q99522537,Samir Taha
65709189,Ahmad Rabaie,Q99688835,Ahmad Rabaie
66068443,Jamal Al Shobaki,Q89281074,Jamal Al Shobaki
66392774,Hanan Jarrar,Q100255658,Hanan Jarrar
67855630,Abeer Odeh,Q27146386,Abeer Odeh
70544794,Fadi al-Hadami,Q99078658,Fadi al-Hadami
